"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
suboxone_willing,moud_knowledgeperceptions,,radio,"M5b.  Buprenorphine:  tablets or film dissolved by mouth (Suboxone, Zubsolv)","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,moud_willing,,
sublocade_willing,moud_knowledgeperceptions,,radio,"M5c.  Buprenorphine:  long-acting injectable (weekly or monthly) (Sublocade, Brixadi)","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,moud_willing,,
vivitrol_willing,moud_knowledgeperceptions,,radio,"M5d.  Naltrexone:  long-acting injectable (monthly) (Vivitrol)","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,moud_willing,,
moud_reduces,moud_knowledgeperceptions,"Instructions:  Please indicate your level of agreement with each of the following statements about Medications for Opioid Use Disorder (MOUD), sometimes also known as MAT (Medications for Addiction Treatment).",radio,"M6.  MOUD reduces the effects of opioids.","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,moud_mat_opinions,,
moud_lifelong,moud_knowledgeperceptions,,radio,"M7.  People should be able to take MOUD as a lifelong treatment.","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,moud_mat_opinions,,
moud_taper,moud_knowledgeperceptions,,radio,"M8.  People should aim to taper off MOUD and continue their recovery without medication.","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,moud_mat_opinions,,
moud_substitute,moud_knowledgeperceptions,,radio,"M9.  MOUD is just substituting one drug for another.","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,moud_mat_opinions,,
moud_criminal,moud_knowledgeperceptions,,radio,"M10.  Ongoing use of MOUD reduces a person's criminal activities.","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,moud_mat_opinions,,
moud_dying,moud_knowledgeperceptions,,radio,"M11.  Ongoing use of MOUD reduces a person's risk of dying.","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,moud_mat_opinions,,
moud_illicit,moud_knowledgeperceptions,,radio,"M12.  MOUD reduces a person's consumption of illicit opioids.","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,moud_mat_opinions,,
moud_nodrugs,moud_knowledgeperceptions,,radio,"M13.  People do not need MOUD after jail/prison because there is no drug use in jail/prison.","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,moud_mat_opinions,,
bat_exhausted,occupational_stressburnout,"Burnout Assessment Tool (BAT4)",radio,"S1.  At work, I feel mentally exhausted.","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,bat,,
bat_struggle,occupational_stressburnout,,radio,"S2.  I struggle to find any enthusiasm for my work.","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,bat,,
bat_trouble,occupational_stressburnout,,radio,"S3.  When I'm working, I have trouble concentrating.","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,bat,,
bat_overreact,occupational_stressburnout,,radio,"S4.  At work, I may overreact unintentionally.","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,y,,,bat,,
oric1,organizational_climate,"Change Readiness/Resistance:  Organizational Readiness for Implementing Change (ORIC)

<font color=""blue""> Instructions: Replace ""[intervention]"" with the name of the program or practice being implemented.</font color>

(OPTIONAL)",radio,"O1. People who work here feel confident that the organization can get people invested in implementing [intervention].","1, Disagree | 2, Somewhat disagree | 3, Neither agree nor disagree | 4, Somewhat agree | 5, Agree",,,,,,,y,,,oric,,
oric2,organizational_climate,,radio,"O2. People who work here are committed to implementing [intervention].","1, Disagree | 2, Somewhat disagree | 3, Neither agree nor disagree | 4, Somewhat agree | 5, Agree",,,,,,,y,,,oric,,
oric3,organizational_climate,,radio,"O3. People who work here feel confident that they can keep track of progress in implementing [intervention].","1, Disagree | 2, Somewhat disagree | 3, Neither agree nor disagree | 4, Somewhat agree | 5, Agree",,,,,,,y,,,oric,,
oric4,organizational_climate,,radio,"O4. People who work here will do whatever it takes to implement [intervention].","1, Disagree | 2, Somewhat disagree | 3, Neither agree nor disagree | 4, Somewhat agree | 5, Agree",,,,,,,y,,,oric,,
oric5,organizational_climate,,radio,"O5. People who work here feel confident that the organization can support people as they adjust to [intervention].","1, Disagree | 2, Somewhat disagree | 3, Neither agree nor disagree | 4, Somewhat agree | 5, Agree",,,,,,,y,,,oric,,
oric6,organizational_climate,,radio,"O6. People who work here want to implement [intervention].","1, Disagree | 2, Somewhat disagree | 3, Neither agree nor disagree | 4, Somewhat agree | 5, Agree",,,,,,,y,,,oric,,
oric7,organizational_climate,,radio,"O7. People who work here feel confident that they can keep the momentum going in implementing [intervention].","1, Disagree | 2, Somewhat disagree | 3, Neither agree nor disagree | 4, Somewhat agree | 5, Agree",,,,,,,y,,,oric,,
oric8,organizational_climate,,radio,"O8. People who work here feel confident that they can handle the challenges that might arise in implementing [intervention].","1, Disagree | 2, Somewhat disagree | 3, Neither agree nor disagree | 4, Somewhat agree | 5, Agree",,,,,,,y,,,oric,,
oric9,organizational_climate,,radio,"O9. People who work here are determined to implement [intervention].","1, Disagree | 2, Somewhat disagree | 3, Neither agree nor disagree | 4, Somewhat agree | 5, Agree",,,,,,,y,,,oric,,
oric10,organizational_climate,,radio,"O10. People who work here feel confident that they can coordinate tasks so that implementation goes smoothly.","1, Disagree | 2, Somewhat disagree | 3, Neither agree nor disagree | 4, Somewhat agree | 5, Agree",,,,,,,y,,,oric,,
oric11,organizational_climate,,radio,"O11. People who work are motivated to implement [intervention].","1, Disagree | 2, Somewhat disagree | 3, Neither agree nor disagree | 4, Somewhat agree | 5, Agree",,,,,,,y,,,oric,,
oric12,organizational_climate,,radio,"O12. People who work here feel confident that they can manage the politics of implementing [intervention].","1, Disagree | 2, Somewhat disagree | 3, Neither agree nor disagree | 4, Somewhat agree | 5, Agree",,,,,,,y,,,oric,,
orgfunc1,organizational_climate,"Stress (Organizational measure):  TCU Survey of Organizational Functioning/Stress

(OPTIONAL)",radio,"O13. Staff members are under too much pressure to do their jobs effectively.","1, Disagree | 2, Somewhat disagree | 3, Neither agree nor disagree | 4, Somewhat agree | 5, Agree",,,,,,,y,,,orgfunc_tcu,,
orgfunc2,organizational_climate,,radio,"O14. Staff members often show signs of stress and strain.","1, Disagree | 2, Somewhat disagree | 3, Neither agree nor disagree | 4, Somewhat agree | 5, Agree",,,,,,,y,,,orgfunc_tcu,,
orgfunc3,organizational_climate,,radio,"O15. The heavy workload here reduces agency effectiveness.","1, Disagree | 2, Somewhat disagree | 3, Neither agree nor disagree | 4, Somewhat agree | 5, Agree",,,,,,,y,,,orgfunc_tcu,,
orgfunc4,organizational_climate,,radio,"O16. Staff frustration is common here.","1, Disagree | 2, Somewhat disagree | 3, Neither agree nor disagree | 4, Somewhat agree | 5, Agree",,,,,,,y,,,orgfunc_tcu,,
imp_header,implementation_outcomes,,descriptive,"<div class=""blue"">OPTIONAL instrument

Instructions: When using this measure, substitute a short-hand name for the intervention/program into each item in place of [intervention]. If needed, define the intervention at the beginning of the section.",,,,,,,,,,,,,
imp_fitting,implementation_outcomes,Appropriateness,radio,"I1. [Intervention] seems fitting.","1, Completely disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Completely agree",,,,,,,y,,,imp_appropriate,,
imp_suitable,implementation_outcomes,,radio,"I2. [Intervention] seems suitable.","1, Completely disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Completely agree",,,,,,,y,,,imp_appropriate,,
imp_applicable,implementation_outcomes,,radio,"I3. [Intervention] seems applicable.","1, Completely disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Completely agree",,,,,,,y,,,imp_appropriate,,
imp_match,implementation_outcomes,,radio,"I4. [Intervention] seems like a good match.","1, Completely disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Completely agree",,,,,,,y,,,imp_appropriate,,
imp_implement,implementation_outcomes,Feasibility,radio,"I5. [Intervention] seems implementable.","1, Completely disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Completely agree",,,,,,,y,,,imp_feasible,,
imp_possible,implementation_outcomes,,radio,"I6. [Intervention] seems possible.","1, Completely disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Completely agree",,,,,,,y,,,imp_feasible,,
imp_doable,implementation_outcomes,,radio,"I7. [Intervention] seems doable.","1, Completely disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Completely agree",,,,,,,y,,,imp_feasible,,
imp_easy,implementation_outcomes,,radio,"I8. [Intervention] seems easy to use.","1, Completely disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Completely agree",,,,,,,y,,,imp_feasible,,
imp_approval,implementation_outcomes,Acceptability,radio,"I9. [Intervention] meets my approval.","1, Completely disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Completely agree",,,,,,,y,,,imp_accept,,
imp_appealing,implementation_outcomes,,radio,"I10. [Intervention] is appealing to me.","1, Completely disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Completely agree",,,,,,,y,,,imp_accept,,
imp_like,implementation_outcomes,,radio,"I11. I like [Intervention].","1, Completely disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Completely agree",,,,,,,y,,,imp_accept,,
imp_welcome,implementation_outcomes,,radio,"I12. I welcome [Intervention].","1, Completely disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Completely agree",,,,,,,y,,,imp_accept,,
cascade_header,cascade_of_care,,descriptive,"Opioid Testing, Screening, and Treatment Survey Questions

<font color=""blue"">Instructions: The following questions ask about routine practices in any jail confinement facilities operated by your jurisdiction. Include testing, screening, and treatment conducted either on or off facility grounds.</font color>

(OPTIONAL)",,,,,,,,,,,,,
cascade_urtest,cascade_of_care,"Screening and Identification",radio,"CC1. During intake, does your jail conduct routine urinalysis testing for the detection of opioids?","1, Yes | 0, No",,,,,,,,,,,,
cascade_interview,cascade_of_care,,radio,"CC2. During intake, does your jail screen inmates for opioid use disorder using a questionnaire or interview?","1, Yes | 0, No",,,,,,,,,,,,
cascade_education,cascade_of_care,"Education and Counseling",radio,"CC3. Does your jail provide overdose education to inmates identified as having opioid use disorder?","1, Yes | 0, No",,,,,,,,,,,,
cascade_tx,cascade_of_care,,radio,"CC4. Does your jail initiate behavioral or psychological treatment for inmates identified as having opioid use disorder?","1, Yes | 0, No",,,,,,,,,,,,
cascade_withdrawal,cascade_of_care,"Withdrawal Management",radio,"CC5. Does your jail provide medications for the treatment of opioid withdrawal symptoms (e.g., clonidine, lofexidine, methadone, or buprenorphine)? (Exclude non-prescription or over-the-counter medications.)","1, Yes | 0, No",,,,,,,,,,,,
cascade_mat,cascade_of_care,"Medication for Opioid Use Disorder (MOUD / MAT)",radio,"CC6. Does your jail provide medication-assisted treatment (MAT) for opioid use disorder using FDA-approved medications (e.g., methadone, buprenorphine, naltrexone)?","1, Yes | 0, No",,,,,,,,,,,,
